index,real_news
1,yes
2,yes
3,yes
4,no
5,no
6,no
7,no
8,no
9,no
10,yes
11,yes
12,yes
13,no
14,no
15,no
16,no?
17,yes
18,yes
19,yes
20,yes
21,yes
22,no
23,yes
24,no
25,no
26,no
27,no
28,no
29,no
30,no
31,yes
32,no
33,no
34,yes
35,yes
36,yes
37,no
38,no
39,yes
40,yes
41,yes
42,yes
43,yes
44,yes
45,no
46,no
47,no
48,no
49,no?
50,no
51,yes
52,yes
53,no
54,yes
55,yes
56,no
57,no
58,yes
59,yes
60,no
61,no
62,no
63,no
64,yes
65,no
66,no
67,no
68,no
69,no
70,yes
71,yes
72,no
73,no
74,yes
75,yes
76,yes
77,yes
78,yes
79,yes
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,no
103,no
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
