index,real_news 
1,yes
2,no
3,no
4,yes
5,no
6,yes
7,yes
8,no
9,yes
10,no
11,yes
12,no
13,no
14,yes
15,no
16,no
17,no
18,yes
19,no
20,yes
21,no
22,no
23,no
24,no
25,no
26,yes
27,yes
28,yes
29,yes
30,no
31,yes
32,yes
33,no
34,no
35,no
36,yes
37,yes
38,yes
39,no
40,no
41,no
42,yes
43,yes
44,no
45,no
46,no
47,yes
48,yes
49,yes
50,no
51,yes
52,no
53,no
54,no
55,no
56,yes
57,yes
58,yes
59,no
60,yes
61,no
62,yes
63,yes
64,yes
65,no
66,yes
67,yes
68,yes
69,no
70,no
71,yes
72,no
73,no
74,yes
75,yes
76,no
77,no
78,yes
79,no
80,yes
81,no
82,yes
83,yes
84,yes
85,yes
86,yes
87,yes
88,no
89,yes
90,yes
91,no
92,no
93,no
94,no
95,yes
96,no
97,no
98,yes
99,yes
100,yes
101,no
102,no
103,yes
104,yes
105,no
106,yes
107,no
108,no
109,no
110,no
111,yes
112,yes
113,no
114,no
115,yes
116,no
117,yes
118,yes
119,yes
120,no
121,no
122,yes
123,yes
124,no
125,no
126,no
127,no
128,yes
129,yes
130,yes
131,yes
132,no
133,no
134,no
135,yes
136,no
137,yes
138,no
139,no
140,no
141,yes
142,no
143,no
144,yes
145,no
146,yes
147,no
148,yes
149,no
150,yes
